Alleged deployer of AI system,risk_domain,Entity,Intent,deployer_category,developer_category,frequency,year,month,log_expected_loss
"[""youtube""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2015,5,5.537957874467924
"[""amazon""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,12,5.228972390475821
"[""boeing""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,10,5.228972390475821
"[""uber""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,3,5.228972390475821
"[""hospitals"",""doctors""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2015,7,5.228972390475821
"[""microsoft""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,3,5.537957874467922
"[""wikipedia""]","7. AI system safety, failures, and limitations",AI,Unintentional,open_source_community,open_source_community,7,2017,2,2.099879232325629
"[""uber""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2014,8,5.228972390475821
"[""new-york-city-dept.-of-education""]","7. AI system safety, failures, and limitations",Human,Intentional,public_agency,public_agency,101,2012,2,4.5356481905260555
"[""starbucks""]",5. Human-Computer Interaction,AI,Unintentional,regulated_corporation,open_source_community,364,2014,8,4.5775335985551
"[""northpointe""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,5,5.537957874467922
"[""microsoft-research"",""boston-university""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,regulated_corporation,32,2016,7,2.506844628347424
"[""google""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,2,5.537957874467922
"[""google""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,10,5.537957874467922
